"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2019","16,751.53","16,751.53","16,751.53","16,751.53","-","0.13%"
"Dec 06, 2019","16,729.08","16,729.08","16,729.08","16,729.08","-","-0.81%"
"Dec 05, 2019","16,865.04","16,865.04","16,865.04","16,865.04","-","-0.21%"
"Dec 04, 2019","16,899.88","16,899.88","16,899.88","16,899.88","-","0.41%"
"Dec 03, 2019","16,831.11","16,831.11","16,831.11","16,831.11","-","-0.45%"
"Dec 02, 2019","16,906.88","16,906.88","16,906.88","16,906.88","-","-0.07%"
"Nov 29, 2019","16,917.89","16,917.89","16,917.89","16,917.89","-","-0.78%"
"Nov 28, 2019","17,051.31","17,051.31","17,051.31","17,051.31","-","0.42%"
"Nov 27, 2019","16,980.54","16,980.54","16,980.54","16,980.54","-","0.52%"
"Nov 26, 2019","16,892.15","16,892.15","16,892.15","16,892.15","-","-0.30%"
"Nov 25, 2019","16,942.70","16,942.70","16,942.70","16,942.70","-","1.34%"
"Nov 22, 2019","16,719.11","16,719.11","16,719.11","16,719.11","-","-0.45%"
"Nov 21, 2019","16,794.86","16,794.86","16,794.86","16,794.86","-","-0.26%"
"Nov 20, 2019","16,837.96","16,837.96","16,837.96","16,837.96","-","0.49%"
"Nov 19, 2019","16,755.15","16,755.15","16,755.15","16,755.15","-","0.47%"
"Nov 18, 2019","16,677.14","16,677.14","16,677.14","16,677.14","-","-0.09%"
"Nov 15, 2019","16,692.52","16,692.52","16,692.52","16,692.52","-","0.20%"
"Nov 14, 2019","16,659.78","16,659.78","16,659.78","16,659.78","-","0.27%"
"Nov 13, 2019","16,615.37","16,615.37","16,615.37","16,615.37","-","-0.61%"
"Nov 11, 2019","16,717.75","16,717.75","16,717.75","16,717.75","-","0.04%"
"Nov 08, 2019","16,710.37","16,710.37","16,710.37","16,710.37","-","-0.86%"
"Nov 07, 2019","16,856.17","16,856.17","16,856.17","16,856.17","-","0.38%"
"Nov 06, 2019","16,791.61","16,791.61","16,791.61","16,791.61","-","0.41%"
"Nov 05, 2019","16,723.06","16,723.06","16,723.06","16,723.06","-","-0.20%"
"Nov 04, 2019","16,756.87","16,756.87","16,756.87","16,756.87","-","0.43%"
"Nov 01, 2019","16,685.73","16,685.73","16,685.73","16,685.73","-","0.11%"
"Oct 31, 2019","16,667.29","16,667.29","16,667.29","16,667.29","-","0.28%"
"Oct 30, 2019","16,620.07","16,620.07","16,620.07","16,620.07","-","0.49%"
"Oct 29, 2019","16,539.23","16,539.23","16,539.23","16,539.23","-","1.75%"
"Oct 25, 2019","16,254.45","16,254.45","16,254.45","16,254.45","-","0.01%"
"Oct 24, 2019","16,252.63","16,252.63","16,252.63","16,252.63","-","-0.19%"
"Oct 23, 2019","16,282.84","16,282.84","16,282.84","16,282.84","-","0.21%"
"Oct 22, 2019","16,248.11","16,248.11","16,248.11","16,248.11","-","-0.63%"
"Oct 18, 2019","16,351.16","16,351.16","16,351.16","16,351.16","-","0.65%"
"Oct 17, 2019","16,245.31","16,245.31","16,245.31","16,245.31","-","1.17%"
"Oct 16, 2019","16,057.85","16,057.85","16,057.85","16,057.85","-","0.31%"
"Oct 15, 2019","16,007.83","16,007.83","16,007.83","16,007.83","-","0.77%"
"Oct 14, 2019","15,885.74","15,885.74","15,885.74","15,885.74","-","0.32%"
"Oct 11, 2019","15,835.17","15,835.17","15,835.17","15,835.17","-","0.63%"
"Oct 10, 2019","15,736.44","15,736.44","15,736.44","15,736.44","-","-0.70%"
"Oct 09, 2019","15,846.77","15,846.77","15,846.77","15,846.77","-","1.68%"
"Oct 07, 2019","15,584.94","15,584.94","15,584.94","15,584.94","-","-0.43%"
"Oct 04, 2019","15,652.70","15,652.70","15,652.70","15,652.70","-","-1.23%"
"Oct 03, 2019","15,847.70","15,847.70","15,847.70","15,847.70","-","-0.40%"
"Oct 01, 2019","15,912.03","15,912.03","15,912.03","15,912.03","-","-1.00%"
"Sep 30, 2019","16,072.50","16,072.50","16,072.50","16,072.50","-","-0.33%"
"Sep 27, 2019","16,125.65","16,125.65","16,125.65","16,125.65","-","-0.51%"
"Sep 26, 2019","16,207.96","16,207.96","16,207.96","16,207.96","-","1.14%"
"Sep 25, 2019","16,024.49","16,024.49","16,024.49","16,024.49","-","-1.28%"
"Sep 24, 2019","16,231.83","16,231.83","16,231.83","16,231.83","-","-0.10%"
"Sep 23, 2019","16,248.62","16,248.62","16,248.62","16,248.62","-","2.89%"
"Sep 20, 2019","15,791.99","15,791.99","15,791.99","15,791.99","-","5.32%"
"Sep 19, 2019","14,994.39","14,994.39","14,994.39","14,994.39","-","-1.25%"
"Sep 18, 2019","15,184.69","15,184.69","15,184.69","15,184.69","-","0.21%"
"Sep 17, 2019","15,152.39","15,152.39","15,152.39","15,152.39","-","-1.69%"
"Sep 16, 2019","15,412.83","15,412.83","15,412.83","15,412.83","-","-0.65%"
"Sep 13, 2019","15,514.20","15,514.20","15,514.20","15,514.20","-","0.85%"
"Sep 12, 2019","15,383.82","15,383.82","15,383.82","15,383.82","-","-0.48%"
"Sep 11, 2019","15,457.90","15,457.90","15,457.90","15,457.90","-","0.30%"
"Sep 09, 2019","15,412.14","15,412.14","15,412.14","15,412.14","-","0.52%"
"Sep 06, 2019","15,332.57","15,332.57","15,332.57","15,332.57","-","0.91%"
"Sep 05, 2019","15,194.86","15,194.86","15,194.86","15,194.86","-","0.03%"
"Sep 04, 2019","15,190.30","15,190.30","15,190.30","15,190.30","-","0.43%"
"Sep 03, 2019","15,124.80","15,124.80","15,124.80","15,124.80","-","-2.04%"
"Aug 30, 2019","15,440.47","15,440.47","15,440.47","15,440.47","-","0.68%"
"Aug 29, 2019","15,335.45","15,335.45","15,335.45","15,335.45","-","-0.89%"
"Aug 28, 2019","15,472.44","15,472.44","15,472.44","15,472.44","-","-0.53%"
"Aug 27, 2019","15,555.44","15,555.44","15,555.44","15,555.44","-","0.43%"
"Aug 26, 2019","15,488.96","15,488.96","15,488.96","15,488.96","-","2.11%"
"Aug 23, 2019","15,168.88","15,168.88","15,168.88","15,168.88","-","0.82%"
"Aug 22, 2019","15,045.62","15,045.62","15,045.62","15,045.62","-","-1.60%"
"Aug 21, 2019","15,290.85","15,290.85","15,290.85","15,290.85","-","-0.87%"
"Aug 20, 2019","15,425.45","15,425.45","15,425.45","15,425.45","-","-0.33%"
"Aug 19, 2019","15,476.07","15,476.07","15,476.07","15,476.07","-","0.07%"
"Aug 16, 2019","15,464.58","15,464.58","15,464.58","15,464.58","-","0.17%"
"Aug 14, 2019","15,438.86","15,438.86","15,438.86","15,438.86","-","0.98%"
"Aug 13, 2019","15,289.35","15,289.35","15,289.35","15,289.35","-","-1.63%"
"Aug 09, 2019","15,542.72","15,542.72","15,542.72","15,542.72","-","0.70%"
"Aug 08, 2019","15,434.73","15,434.73","15,434.73","15,434.73","-","1.65%"
"Aug 07, 2019","15,184.34","15,184.34","15,184.34","15,184.34","-","-0.85%"
"Aug 06, 2019","15,314.03","15,314.03","15,314.03","15,314.03","-","0.79%"
