"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2014","9,338.40","9,223.92","9,372.07","9,223.90","82.23M","1.63%"
"Mar 24, 2014","9,188.77","9,349.52","9,358.95","9,181.37","86.79M","-1.65%"
"Mar 21, 2014","9,342.94","9,300.66","9,376.94","9,288.15","198.58M","0.50%"
"Mar 20, 2014","9,296.12","9,215.70","9,296.90","9,156.63","96.95M","0.21%"
"Mar 19, 2014","9,277.05","9,262.71","9,325.93","9,221.59","89.48M","0.37%"
"Mar 18, 2014","9,242.55","9,172.05","9,315.07","9,105.69","99.30M","0.67%"
"Mar 17, 2014","9,180.89","9,047.49","9,197.81","9,047.49","86.96M","1.37%"
"Mar 14, 2014","9,056.41","8,939.18","9,094.24","8,913.27","141.18M","0.43%"
"Mar 13, 2014","9,017.79","9,200.12","9,226.96","9,017.35","113.77M","-1.86%"
"Mar 12, 2014","9,188.69","9,257.13","9,267.10","9,142.54","107.43M","-1.28%"
"Mar 11, 2014","9,307.79","9,295.32","9,375.29","9,259.18","72.30M","0.46%"
"Mar 10, 2014","9,265.50","9,305.51","9,382.98","9,216.07","84.88M","-0.91%"
"Mar 07, 2014","9,350.75","9,538.45","9,543.24","9,346.82","103.25M","-2.01%"
"Mar 06, 2014","9,542.87","9,577.35","9,587.44","9,505.32","103.68M","0.01%"
"Mar 05, 2014","9,542.02","9,562.39","9,599.00","9,534.43","73.34M","-0.49%"
"Mar 04, 2014","9,589.15","9,453.77","9,590.11","9,421.16","95.63M","2.46%"
"Mar 03, 2014","9,358.89","9,553.08","9,554.17","9,358.73","118.04M","-3.44%"
"Feb 28, 2014","9,692.08","9,592.90","9,692.08","9,566.04","83.20M","1.08%"
"Feb 27, 2014","9,588.33","9,660.55","9,672.82","9,497.78","86.42M","-0.76%"
"Feb 26, 2014","9,661.73","9,708.50","9,720.66","9,612.52","87.28M","-0.39%"
"Feb 25, 2014","9,699.35","9,676.56","9,710.95","9,628.72","90.68M","-0.10%"
"Feb 24, 2014","9,708.94","9,619.64","9,708.94","9,602.95","67.95M","0.54%"
"Feb 21, 2014","9,656.95","9,665.08","9,666.15","9,598.03","78.59M","0.40%"
"Feb 20, 2014","9,618.85","9,524.58","9,618.85","9,504.18","88.68M","-0.43%"
"Feb 19, 2014","9,660.05","9,641.45","9,695.86","9,596.42","72.89M","0.00%"
"Feb 18, 2014","9,659.78","9,674.80","9,690.97","9,614.40","58.83M","0.03%"
"Feb 17, 2014","9,656.76","9,661.80","9,682.19","9,645.51","45.85M","-0.06%"
"Feb 14, 2014","9,662.40","9,615.52","9,677.53","9,593.37","91.50M","0.68%"
"Feb 13, 2014","9,596.77","9,522.66","9,600.64","9,479.86","93.21M","0.60%"
"Feb 12, 2014","9,540.00","9,505.12","9,594.85","9,501.96","85.29M","0.65%"
"Feb 11, 2014","9,478.77","9,338.80","9,478.77","9,338.01","76.25M","2.03%"
"Feb 10, 2014","9,289.86","9,331.71","9,346.13","9,280.18","59.60M","-0.13%"
"Feb 07, 2014","9,301.92","9,275.38","9,323.24","9,223.21","89.00M","0.49%"
"Feb 06, 2014","9,256.58","9,166.46","9,274.46","9,128.97","122.69M","1.54%"
"Feb 05, 2014","9,116.32","9,105.28","9,154.72","9,080.87","95.61M","-0.13%"
"Feb 04, 2014","9,127.91","9,126.46","9,166.98","9,071.25","114.60M","-0.64%"
"Feb 03, 2014","9,186.52","9,318.77","9,357.58","9,173.56","105.55M","-1.29%"
"Jan 31, 2014","9,306.48","9,339.84","9,346.79","9,166.05","126.86M","-0.71%"
"Jan 30, 2014","9,373.48","9,343.51","9,415.48","9,266.95","97.75M","0.39%"
"Jan 29, 2014","9,336.73","9,507.35","9,537.63","9,221.30","126.38M","-0.75%"
"Jan 28, 2014","9,406.91","9,405.53","9,427.59","9,345.76","99.32M","0.62%"
"Jan 27, 2014","9,349.22","9,389.17","9,402.72","9,310.99","112.55M","-0.46%"
"Jan 24, 2014","9,392.02","9,646.65","9,664.24","9,374.08","125.92M","-2.48%"
"Jan 23, 2014","9,631.04","9,690.51","9,728.78","9,596.49","98.66M","-0.92%"
"Jan 22, 2014","9,720.11","9,752.11","9,765.63","9,677.14","84.23M","-0.10%"
"Jan 21, 2014","9,730.12","9,751.98","9,794.05","9,714.02","80.84M","0.15%"
